 INFO  Accepting connections at http://localhost:3000
 HTTP  10/15/2023 12:13:45 PM ::1 Returned 200 in 3 ms
 HTTP  10/15/2023 12:13:45 PM ::1 GET /static/css/main.55a54c47.chunk.css.map
 HTTP  10/15/2023 12:13:45 PM ::1 Returned 200 in 1 ms
 HTTP  10/15/2023 12:13:45 PM ::1 GET /static/js/main.f8cf6560.chunk.js.map
 HTTP  10/15/2023 12:13:45 PM ::1 Returned 200 in 4 ms
 HTTP  10/15/2023 12:15:00 PM ::1 GET /
 HTTP  10/15/2023 12:15:00 PM ::1 Returned 200 in 2 ms
 HTTP  10/15/2023 12:15:01 PM ::1 GET /static/css/main.55a54c47.chunk.css.map
 HTTP  10/15/2023 12:15:01 PM ::1 Returned 200 in 1 ms
 HTTP  10/15/2023 12:15:01 PM ::1 GET /static/js/2.182e61df.chunk.js.map
 HTTP  10/15/2023 12:15:01 PM ::1 Returned 200 in 2 ms
 HTTP  10/15/2023 12:15:01 PM ::1 GET /static/js/main.f8cf6560.chunk.js.map
 HTTP  10/15/2023 12:15:01 PM ::1 Returned 200 in 1 ms
 HTTP  10/15/2023 12:15:06 PM ::1 GET /
 HTTP  10/15/2023 12:15:06 PM ::1 Returned 200 in 2 ms
 HTTP  10/15/2023 12:15:06 PM ::1 GET /static/css/main.55a54c47.chunk.css.map
 HTTP  10/15/2023 12:15:06 PM ::1 Returned 200 in 1 ms
 HTTP  10/15/2023 12:15:06 PM ::1 GET /static/js/2.182e61df.chunk.js.map
 HTTP  10/15/2023 12:15:06 PM ::1 Returned 200 in 1 ms
 HTTP  10/15/2023 12:15:06 PM ::1 GET /static/js/main.f8cf6560.chunk.js.map
 HTTP  10/15/2023 12:15:06 PM ::1 Returned 200 in 0 ms
 HTTP  10/15/2023 12:16:16 PM ::1 GET /static/js/main.f8cf6560.chunk.js.map
 HTTP  10/15/2023 12:16:16 PM ::1 GET /static/js/2.182e61df.chunk.js.map
 HTTP  10/15/2023 12:16:16 PM ::1 Returned 200 in 1 ms
 HTTP  10/15/2023 12:16:16 PM ::1 Returned 200 in 1 ms
 HTTP  10/15/2023 12:16:16 PM ::1 GET /manifest.json
 HTTP  10/15/2023 12:16:16 PM ::1 Returned 200 in 1 ms
 HTTP  10/15/2023 12:16:17 PM ::1 GET /static/css/main.55a54c47.chunk.css.map
 HTTP  10/15/2023 12:16:17 PM ::1 Returned 200 in 1 ms
 HTTP  10/15/2023 12:16:22 PM ::1 GET /static/css/main.55a54c47.chunk.css.map
 HTTP  10/15/2023 12:16:22 PM ::1 Returned 200 in 1 ms
 HTTP  10/15/2023 12:16:23 PM ::1 GET /static/js/2.182e61df.chunk.js.map
 HTTP  10/15/2023 12:16:23 PM ::1 Returned 200 in 1 ms
 HTTP  10/15/2023 12:16:23 PM ::1 GET /static/js/main.f8cf6560.chunk.js.map
 HTTP  10/15/2023 12:16:23 PM ::1 Returned 200 in 1 ms
